corridor,product,pathway,reference_pathway,year,price_scenario,extra_production_cost_eur_per_tonne,emissions_avoided_tco2e_per_tonne,abatement_cost_eur_per_tco2,carbon_price_eur_per_tco2,margin_vs_carbon_price_pct,verdict,justified_by_carbon_price
halifax_hamburg,ammonia,green_electrolysis,grey_smr,2030,medium,481.0,1.56,308.33,126.0,-144.7,not justified,False
halifax_hamburg,hydrogen,blue_smr_ccs,grey_smr,2030,medium,438.9,8.05,54.52,126.0,56.7,justified,True
halifax_hamburg,hydrogen,green_electrolysis,grey_smr,2030,medium,2993.3,8.84,338.61,126.0,-168.7,not justified,False
ningbo_felixstowe,ammonia,green_electrolysis,coal_gasification,2030,medium,305.6,5.332,57.31,57.91,1.0,marginal,True
ningbo_felixstowe,hydrogen,blue_ccs,coal_gasification,2030,medium,553.0,13.81,40.04,57.91,30.9,justified,True
ningbo_felixstowe,hydrogen,green_electrolysis,coal_gasification,2030,medium,5367.8,17.75,302.41,57.91,-422.2,not justified,False
