product,pathway,price_scenario,decision_year,tenor_years,years_evaluated,discount_rate,beyond_horizon,spot_cost_gap_gbp_per_tonne,myopic_choice,committed_choice,decision_reverses,pv_halifax_hamburg_gbp_per_tonne_annual_volume,pv_ningbo_felixstowe_gbp_per_tonne_annual_volume,breakeven_switching_cost_gbp_per_tonne_annual_volume,lock_in_regret_pct,uk_price_variant,uk_price_variant_label
ammonia,cbam_default,medium,2027,10,10,0.08,hold_final,-8.93,ningbo_felixstowe,ningbo_felixstowe,False,724.92,427.6,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,medium,2028,10,10,0.08,hold_final,-15.95,ningbo_felixstowe,ningbo_felixstowe,False,800.05,460.85,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,medium,2029,10,10,0.08,hold_final,-30.46,ningbo_felixstowe,ningbo_felixstowe,False,868.59,491.74,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,medium,2030,10,10,0.08,hold_final,-55.45,ningbo_felixstowe,ningbo_felixstowe,False,916.88,515.04,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,medium,2026,10,10,0.08,hold_final,-467.53,ningbo_felixstowe,ningbo_felixstowe,False,6878.36,2219.57,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,medium,2027,10,10,0.08,hold_final,-417.08,ningbo_felixstowe,ningbo_felixstowe,False,7519.05,2613.9,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,medium,2028,10,10,0.08,hold_final,-578.37,ningbo_felixstowe,ningbo_felixstowe,False,8042.79,2817.09,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,medium,2029,10,10,0.08,hold_final,-670.11,ningbo_felixstowe,ningbo_felixstowe,False,8403.49,3005.8,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
hydrogen,cbam_default,medium,2030,10,10,0.08,hold_final,-756.79,ningbo_felixstowe,ningbo_felixstowe,False,8632.49,3148.12,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,high,2026,10,5,0.08,truncate,-39.46,ningbo_felixstowe,ningbo_felixstowe,False,320.16,187.58,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
ammonia,cbam_default,high,2027,10,4,0.08,truncate,-7.82,ningbo_felixstowe,ningbo_felixstowe,False,303.09,202.52,0.0,0.0,frozen,Frozen at the 2026 determination (baseline)
