corridor,product,pathway,year,price_scenario,route_scenario,speed_scenario,vessel_set,vessel_class,uk_ets_variant,uk_price_variant,bunker_fuel,currency,cargo_tonnes,embedded_emissions_tco2e_per_tonne,cbam_cost_per_tonne,eu_ets_cost_per_tonne,fueleu_cost_per_tonne,uk_ets_cost_per_tonne,maritime_cost_per_tonne,total_compliance_cost_per_tonne
halifax_hamburg,ammonia,green_electrolysis,2027,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,0.7083155213565602,0.2356303250552357,0.0,0.9439458464117959,0.9439458464117959
halifax_hamburg,ammonia,cbam_default,2027,low,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,5.599929,0.7083155213565602,0.2356303250552357,0.0,0.9439458464117959,6.543874846411796
halifax_hamburg,hydrogen,green_electrolysis,2027,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,8.611487645847632,2.2698623385811674,0.0,10.881349984428798,10.881349984428798
halifax_hamburg,hydrogen,grey_smr,2027,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,152.4039495,8.611487645847632,2.2698623385811674,0.0,10.881349984428798,163.2852994844288
halifax_hamburg,hydrogen,blue_smr_ccs,2027,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,8.611487645847632,2.2698623385811674,0.0,10.881349984428798,10.881349984428798
halifax_hamburg,hydrogen,cbam_default,2027,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,237.2304895,8.611487645847632,2.2698623385811674,0.0,10.881349984428798,248.1118394844288
halifax_hamburg,ammonia,grey_smr,2027,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,21.369651000000005,0.8939430372982794,0.2356303250552357,0.0,1.1295733623535151,22.49922436235352
halifax_hamburg,ammonia,green_electrolysis,2027,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,0.62,0.0,0.8939430372982794,0.2356303250552357,0.0,1.1295733623535151,1.1295733623535151
halifax_hamburg,ammonia,cbam_default,2027,medium,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,1.98,16.124029,0.8939430372982794,0.2356303250552357,0.0,1.1295733623535151,17.253602362353515
halifax_hamburg,hydrogen,green_electrolysis,2027,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,1.23,0.0,9.811449039121483,2.2698623385811674,0.0,12.08131137770265,12.08131137770265
halifax_hamburg,hydrogen,grey_smr,2027,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.07,219.155937,9.811449039121483,2.2698623385811674,0.0,12.08131137770265,231.23724837770266
halifax_hamburg,hydrogen,blue_smr_ccs,2027,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,2.02,0.0,9.811449039121483,2.2698623385811674,0.0,12.08131137770265,12.08131137770265
halifax_hamburg,hydrogen,cbam_default,2027,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,5828,10.82,341.13597699999997,9.811449039121483,2.2698623385811674,0.0,12.08131137770265,353.21728837770263
halifax_hamburg,ammonia,grey_smr,2027,high,suez,base,gas_carrier,VLGC/VLAC,n/a,n/a,conventional,EUR,56142,2.18,30.729426000000007,1.018508870364433,0.2356303250552357,0.0,1.2541391954196686,31.983565195419676
