corridor,vessel_set,vessel_class,route_scenario,speed_scenario,year,price_scenario,uk_ets_variant,uk_price_variant,bunker_fuel,voyage_co2_t,currency,cost_in_own_currency,effective_cost_per_tonne_co2,effective_cost_per_tonne_co2_gbp
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2027,low,n/a,n/a,green_rfnbo,1080.2,EUR,39766.25,36.81378448435475,31.40866698321353
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2027,medium,n/a,n/a,conventional,1080.2,EUR,63416.50770925105,58.70811674620538,50.088403404350665
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2027,medium,n/a,n/a,green_rfnbo,1080.2,EUR,50187.75,46.461534900944265,39.639903847779834
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2027,high,n/a,n/a,conventional,1080.2,EUR,70409.88270925105,65.18226505207465,55.61199656346752
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2027,high,n/a,n/a,green_rfnbo,1080.2,EUR,57181.125,52.93568320681355,45.1634970068967
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2028,low,n/a,n/a,conventional,1080.2,EUR,54366.25770925105,50.32980717390395,42.94022402196414
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2028,low,n/a,n/a,green_rfnbo,1080.2,EUR,41137.5,38.08322532864284,32.491724465393304
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2028,medium,n/a,n/a,conventional,1080.2,EUR,69724.25770925105,64.54754462993061,55.07046782237764
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2028,medium,n/a,n/a,green_rfnbo,1080.2,EUR,56495.5,52.3009627846695,44.62196826580681
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2028,high,n/a,n/a,conventional,1080.2,EUR,78226.00770925105,72.4180778645168,61.78542421189226
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2028,high,n/a,n/a,green_rfnbo,1080.2,EUR,64997.25,60.17149601925569,51.336924655321425
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2029,low,n/a,n/a,conventional,1080.2,EUR,55737.50770925105,51.59924801819204,44.02328150414392
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2029,low,n/a,n/a,green_rfnbo,1080.2,EUR,42508.75,39.35266617293094,33.574781947573086
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2029,medium,n/a,n/a,conventional,1080.2,EUR,76032.00770925105,70.38697251365585,60.05253224040462
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2029,medium,n/a,n/a,green_rfnbo,1080.2,EUR,62803.25,58.14039066839474,49.60403268383378
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2029,high,n/a,n/a,conventional,1080.2,EUR,86042.13270925105,79.65389067695894,67.95885186031698
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2029,high,n/a,n/a,green_rfnbo,1080.2,EUR,72813.375,67.40730883169783,57.51035230374615
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2030,low,n/a,n/a,conventional,1080.2,EUR,90177.02766519824,83.48178824773026,71.22472527513267
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2030,low,n/a,n/a,green_rfnbo,1080.2,EUR,43880.0,40.62210701721903,34.657839429752855
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2030,medium,n/a,n/a,conventional,1080.2,EUR,115408.02766519824,106.83949978263121,91.15298294724057
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2030,medium,n/a,n/a,green_rfnbo,1080.2,EUR,69111.0,63.97981855211997,54.58609710186075
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2030,high,n/a,n/a,conventional,1080.2,EUR,126926.52766519824,117.50280287465121,100.2506657975507
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,base,2030,high,n/a,n/a,green_rfnbo,1080.2,EUR,80629.5,74.64312164413997,63.68377995217087
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2026,low,n/a,n/a,conventional,950.0,EUR,45402.97797356823,47.79260839322972,40.77554487558952
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2026,low,n/a,n/a,green_rfnbo,950.0,EUR,33768.0,35.54526315789474,30.326394012315383
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2026,medium,n/a,n/a,conventional,950.0,EUR,50226.97797356823,52.870503130071825,45.107886877348854
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2026,medium,n/a,n/a,green_rfnbo,950.0,EUR,38592.0,40.62315789473684,34.65873601407472
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2026,high,n/a,n/a,conventional,950.0,EUR,55050.97797356823,57.94839786691393,49.4402288791082
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2026,high,n/a,n/a,green_rfnbo,950.0,EUR,43416.0,45.701052631578946,38.99107801583406
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2027,low,n/a,n/a,conventional,950.0,EUR,46608.97797356823,49.062082077440245,41.85863037602935
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2027,low,n/a,n/a,green_rfnbo,950.0,EUR,34974.0,36.81473684210526,31.409479512755215
halifax_hamburg,gas_carrier,VLGC/VLAC,suez,upper,2027,medium,n/a,n/a,conventional,950.0,EUR,55774.57797356823,58.71008207744024,50.090080179372094
