corridor,product,pathway,year,price_scenario,embedded_emissions_tco2e_per_tonne,uk_price_variant,eu_cbam_cost_eur_per_tonne,uk_cbam_cost_gbp_per_tonne
ningbo_felixstowe,hydrogen,green_electrolysis,2028,low,2.34,frozen,0.0,16.68657038597416
ningbo_felixstowe,hydrogen,green_electrolysis,2028,medium,2.34,frozen,0.0,20.612086069274582
ningbo_felixstowe,hydrogen,green_electrolysis,2028,high,2.34,frozen,0.0,25.029855578961243
ningbo_felixstowe,hydrogen,green_electrolysis,2029,low,2.34,frozen,0.0,20.73464562881763
ningbo_felixstowe,hydrogen,green_electrolysis,2029,medium,2.34,frozen,0.0,25.612471012996973
ningbo_felixstowe,hydrogen,green_electrolysis,2029,high,2.34,frozen,0.0,31.101968443226443
ningbo_felixstowe,hydrogen,green_electrolysis,2030,low,2.34,frozen,0.0,30.854833735926288
ningbo_felixstowe,hydrogen,green_electrolysis,2030,medium,2.34,frozen,0.0,38.11343337230294
ningbo_felixstowe,hydrogen,green_electrolysis,2030,high,2.34,frozen,0.0,46.28225060388943
ningbo_felixstowe,hydrogen,coal_gasification,2026,low,20.09,frozen,0.0,0.0
ningbo_felixstowe,hydrogen,coal_gasification,2026,medium,20.09,frozen,0.0,0.0
ningbo_felixstowe,hydrogen,coal_gasification,2026,high,20.09,frozen,0.0,0.0
ningbo_felixstowe,hydrogen,coal_gasification,2027,low,20.09,frozen,0.0,125.88473642728992
ningbo_felixstowe,hydrogen,coal_gasification,2027,medium,20.09,frozen,0.0,155.49912067180986
ningbo_felixstowe,hydrogen,coal_gasification,2027,high,20.09,frozen,0.0,188.8271046409349
ningbo_felixstowe,hydrogen,coal_gasification,2028,low,20.09,frozen,0.0,143.26205087787218
ningbo_felixstowe,hydrogen,coal_gasification,2028,medium,20.09,frozen,0.0,176.9644483468916
ningbo_felixstowe,hydrogen,coal_gasification,2028,high,20.09,frozen,0.0,214.89307631680828
ningbo_felixstowe,hydrogen,coal_gasification,2029,low,20.09,frozen,0.0,178.01667977903685
ningbo_felixstowe,hydrogen,coal_gasification,2029,medium,20.09,frozen,0.0,219.89510369705525
ningbo_felixstowe,hydrogen,coal_gasification,2029,high,20.09,frozen,0.0,267.0250196685553
ningbo_felixstowe,hydrogen,coal_gasification,2030,low,20.09,frozen,0.0,264.9032520319484
ningbo_felixstowe,hydrogen,coal_gasification,2030,medium,20.09,frozen,0.0,327.2217420724642
ningbo_felixstowe,hydrogen,coal_gasification,2030,high,20.09,frozen,0.0,397.35487804792257
ningbo_felixstowe,hydrogen,blue_ccs,2026,low,6.28,frozen,0.0,0.0
ningbo_felixstowe,hydrogen,blue_ccs,2026,medium,6.28,frozen,0.0,0.0
ningbo_felixstowe,hydrogen,blue_ccs,2026,high,6.28,frozen,0.0,0.0
ningbo_felixstowe,hydrogen,blue_ccs,2027,low,6.28,frozen,0.0,39.35072895785868
ningbo_felixstowe,hydrogen,blue_ccs,2027,medium,6.28,frozen,0.0,48.60798794519493
ningbo_felixstowe,hydrogen,blue_ccs,2027,high,6.28,frozen,0.0,59.02609343678802
ningbo_felixstowe,hydrogen,blue_ccs,2028,low,6.28,frozen,0.0,44.7827615486828
ningbo_felixstowe,hydrogen,blue_ccs,2028,medium,6.28,frozen,0.0,55.31790620301042
ningbo_felixstowe,hydrogen,blue_ccs,2028,high,6.28,frozen,0.0,67.1741423230242
ningbo_felixstowe,hydrogen,blue_ccs,2029,low,6.28,frozen,0.0,55.64682673033108
ningbo_felixstowe,hydrogen,blue_ccs,2029,medium,6.28,frozen,0.0,68.73774271864146
ningbo_felixstowe,hydrogen,blue_ccs,2029,high,6.28,frozen,0.0,83.47024009549662
ningbo_felixstowe,hydrogen,blue_ccs,2030,low,6.28,frozen,0.0,82.80698968445176
ningbo_felixstowe,hydrogen,blue_ccs,2030,medium,6.28,frozen,0.0,102.28733400771902
ningbo_felixstowe,hydrogen,blue_ccs,2030,high,6.28,frozen,0.0,124.21048452667763
ningbo_felixstowe,hydrogen,cbam_default,2026,low,26.64,frozen,0.0,0.0
ningbo_felixstowe,hydrogen,cbam_default,2026,medium,26.64,frozen,0.0,0.0
ningbo_felixstowe,hydrogen,cbam_default,2026,high,26.64,frozen,0.0,0.0
ningbo_felixstowe,hydrogen,cbam_default,2027,low,26.64,frozen,0.0,166.9272960887508
ningbo_felixstowe,hydrogen,cbam_default,2027,medium,26.64,frozen,0.0,206.19694249362942
ningbo_felixstowe,hydrogen,cbam_default,2027,high,26.64,frozen,0.0,250.3909441331262
ningbo_felixstowe,hydrogen,cbam_default,2028,low,26.64,frozen,0.0,189.97018593262894
ningbo_felixstowe,hydrogen,cbam_default,2028,medium,26.64,frozen,0.0,234.6606721732799
ningbo_felixstowe,hydrogen,cbam_default,2028,high,26.64,frozen,0.0,284.9552788989434
ningbo_felixstowe,hydrogen,cbam_default,2029,low,26.64,frozen,0.0,236.05596562038534
ningbo_felixstowe,hydrogen,cbam_default,2029,medium,26.64,frozen,0.0,291.588131532581
ningbo_felixstowe,hydrogen,cbam_default,2029,high,26.64,frozen,0.0,354.083948430578
ningbo_felixstowe,hydrogen,cbam_default,2030,low,26.64,frozen,0.0,351.27041483977627
ningbo_felixstowe,hydrogen,cbam_default,2030,medium,26.64,frozen,0.0,433.90677993083364
ningbo_felixstowe,hydrogen,cbam_default,2030,high,26.64,frozen,0.0,526.9056222596644
halifax_hamburg,ammonia,grey_smr,2026,low,2.18,n/a,0.5847849999999999,0.0
halifax_hamburg,ammonia,grey_smr,2026,medium,2.18,n/a,1.129785,0.0
halifax_hamburg,ammonia,grey_smr,2026,high,2.18,n/a,1.674785,0.0
halifax_hamburg,ammonia,grey_smr,2027,low,2.18,n/a,1.10199,0.0
halifax_hamburg,ammonia,grey_smr,2027,medium,2.18,n/a,3.1729900000000004,0.0
halifax_hamburg,ammonia,grey_smr,2027,high,2.18,n/a,4.562740000000001,0.0
halifax_hamburg,ammonia,grey_smr,2028,low,2.18,n/a,2.7489800000000004,0.0
halifax_hamburg,ammonia,grey_smr,2028,medium,2.18,n/a,8.85298,0.0
halifax_hamburg,ammonia,grey_smr,2028,high,2.18,n/a,12.231980000000002,0.0
halifax_hamburg,ammonia,grey_smr,2029,low,2.18,n/a,7.411455,0.0
halifax_hamburg,ammonia,grey_smr,2029,medium,2.18,n/a,25.559955000000002,0.0
halifax_hamburg,ammonia,grey_smr,2029,high,2.18,n/a,34.51158,0.0
halifax_hamburg,ammonia,grey_smr,2030,low,2.18,n/a,8.722725,0.0
halifax_hamburg,ammonia,grey_smr,2030,medium,2.18,n/a,57.35852500000001,0.0
halifax_hamburg,ammonia,grey_smr,2030,high,2.18,n/a,79.56182500000001,0.0
halifax_hamburg,ammonia,green_electrolysis,2026,low,0.62,n/a,0.16631499999999996,0.0
halifax_hamburg,ammonia,green_electrolysis,2026,medium,0.62,n/a,0.32131499999999996,0.0
halifax_hamburg,ammonia,green_electrolysis,2026,high,0.62,n/a,0.47631499999999993,0.0
halifax_hamburg,ammonia,green_electrolysis,2027,low,0.62,n/a,0.31340999999999997,0.0
halifax_hamburg,ammonia,green_electrolysis,2027,medium,0.62,n/a,0.9024099999999999,0.0
halifax_hamburg,ammonia,green_electrolysis,2027,high,0.62,n/a,1.29766,0.0
halifax_hamburg,ammonia,green_electrolysis,2028,low,0.62,n/a,0.78182,0.0
halifax_hamburg,ammonia,green_electrolysis,2028,medium,0.62,n/a,2.51782,0.0
halifax_hamburg,ammonia,green_electrolysis,2028,high,0.62,n/a,3.47882,0.0
halifax_hamburg,ammonia,green_electrolysis,2029,low,0.62,n/a,2.107845,0.0
halifax_hamburg,ammonia,green_electrolysis,2029,medium,0.62,n/a,7.269345,0.0
halifax_hamburg,ammonia,green_electrolysis,2029,high,0.62,n/a,9.81522,0.0
halifax_hamburg,ammonia,green_electrolysis,2030,low,0.62,n/a,2.4807749999999995,0.0
halifax_hamburg,ammonia,green_electrolysis,2030,medium,0.62,n/a,16.312974999999998,0.0
halifax_hamburg,ammonia,green_electrolysis,2030,high,0.62,n/a,22.627674999999996,0.0
halifax_hamburg,ammonia,cbam_default,2026,low,1.98,n/a,0.5364463499999998,0.0
halifax_hamburg,ammonia,cbam_default,2026,medium,1.98,n/a,1.03639635,0.0
halifax_hamburg,ammonia,cbam_default,2026,high,1.98,n/a,1.53634635,0.0
halifax_hamburg,ammonia,cbam_default,2027,low,1.98,n/a,1.0108989,0.0
halifax_hamburg,ammonia,cbam_default,2027,medium,1.98,n/a,2.9107089000000004,0.0
halifax_hamburg,ammonia,cbam_default,2027,high,1.98,n/a,4.1855814,0.0
halifax_hamburg,ammonia,cbam_default,2028,low,1.98,n/a,2.5217478,0.0
halifax_hamburg,ammonia,cbam_default,2028,medium,1.98,n/a,8.121187800000001,0.0
halifax_hamburg,ammonia,cbam_default,2028,high,1.98,n/a,11.2208778,0.0
halifax_hamburg,ammonia,cbam_default,2029,low,1.98,n/a,6.79882005,0.0
halifax_hamburg,ammonia,cbam_default,2029,medium,1.98,n/a,23.44715505,0.0
halifax_hamburg,ammonia,cbam_default,2029,high,1.98,n/a,31.6588338,0.0
