corridor,product,pathway,year,parameter,mean_abs_pct_change,rank
halifax_hamburg,hydrogen,green_electrolysis,2030,service_speed_knots,7.725990076204942,5
halifax_hamburg,hydrogen,green_electrolysis,2030,cargo_tonnes,7.636056161384612,6
halifax_hamburg,hydrogen,green_electrolysis,2030,engine_load_fraction,7.367206909595281,7
halifax_hamburg,hydrogen,green_electrolysis,2030,main_engine_power_kw,7.367206909595281,7
halifax_hamburg,hydrogen,green_electrolysis,2030,sfoc_g_per_kwh,7.367206909595281,7
halifax_hamburg,hydrogen,green_electrolysis,2030,vlsfo_carbon_factor,4.322839910133807,8
halifax_hamburg,hydrogen,green_electrolysis,2030,port_days,0.0,9
halifax_hamburg,hydrogen,grey_smr,2030,carbon_price,41.81650249335137,1
halifax_hamburg,hydrogen,grey_smr,2030,origin_carbon_price_eur_per_tco2e,22.34610520180042,2
halifax_hamburg,hydrogen,grey_smr,2030,embedded_emissions_tco2e_per_tonne,18.679820128621454,3
halifax_hamburg,hydrogen,grey_smr,2030,fueleu_actual_intensity_gco2e_mj,5.024709690470586,4
halifax_hamburg,hydrogen,grey_smr,2030,service_speed_knots,1.391383682654983,5
halifax_hamburg,hydrogen,grey_smr,2030,cargo_tonnes,1.3751873660193195,6
halifax_hamburg,hydrogen,grey_smr,2030,engine_load_fraction,1.3267699517663754,7
halifax_hamburg,hydrogen,grey_smr,2030,main_engine_power_kw,1.3267699517663754,7
halifax_hamburg,hydrogen,grey_smr,2030,sfoc_g_per_kwh,1.3267699517663754,7
halifax_hamburg,hydrogen,grey_smr,2030,vlsfo_carbon_factor,0.7785059072512253,8
halifax_hamburg,hydrogen,grey_smr,2030,port_days,0.0,9
ningbo_felixstowe,ammonia,cbam_default,2030,carbon_price,20.0,1
ningbo_felixstowe,ammonia,cbam_default,2030,embedded_emissions_tco2e_per_tonne,19.985282934675922,2
ningbo_felixstowe,ammonia,cbam_default,2030,cargo_tonnes,0.015330276379233492,3
ningbo_felixstowe,ammonia,cbam_default,2030,engine_load_fraction,0.014804991244471696,4
ningbo_felixstowe,ammonia,cbam_default,2030,main_engine_power_kw,0.014804991244471696,4
ningbo_felixstowe,ammonia,cbam_default,2030,sfoc_g_per_kwh,0.014804991244471696,4
ningbo_felixstowe,ammonia,cbam_default,2030,port_days,0.014699727818639312,5
ningbo_felixstowe,ammonia,cbam_default,2030,vlsfo_carbon_factor,0.014495392933215272,6
ningbo_felixstowe,ammonia,cbam_default,2030,fueleu_actual_intensity_gco2e_mj,0.0,7
ningbo_felixstowe,ammonia,cbam_default,2030,origin_carbon_price_eur_per_tco2e,0.0,7
ningbo_felixstowe,ammonia,cbam_default,2030,service_speed_knots,0.0,7
ningbo_felixstowe,ammonia,coal_gasification,2030,carbon_price,20.0,1
ningbo_felixstowe,ammonia,coal_gasification,2030,embedded_emissions_tco2e_per_tonne,19.989564203153144,2
ningbo_felixstowe,ammonia,coal_gasification,2030,cargo_tonnes,0.010870621715467328,3
ningbo_felixstowe,ammonia,coal_gasification,2030,engine_load_fraction,0.010498144673860378,4
ningbo_felixstowe,ammonia,coal_gasification,2030,main_engine_power_kw,0.010498144673860378,4
ningbo_felixstowe,ammonia,coal_gasification,2030,sfoc_g_per_kwh,0.010498144673860378,4
ningbo_felixstowe,ammonia,coal_gasification,2030,port_days,0.01042350290913342,5
ningbo_felixstowe,ammonia,coal_gasification,2030,vlsfo_carbon_factor,0.010278610071733111,6
ningbo_felixstowe,ammonia,coal_gasification,2030,fueleu_actual_intensity_gco2e_mj,0.0,7
ningbo_felixstowe,ammonia,coal_gasification,2030,origin_carbon_price_eur_per_tco2e,0.0,7
ningbo_felixstowe,ammonia,coal_gasification,2030,service_speed_knots,0.0,7
ningbo_felixstowe,ammonia,green_electrolysis,2030,carbon_price,19.999999999999993,1
ningbo_felixstowe,ammonia,green_electrolysis,2030,embedded_emissions_tco2e_per_tonne,19.921806111410437,2
ningbo_felixstowe,ammonia,green_electrolysis,2030,cargo_tonnes,0.08145196728079387,3
ningbo_felixstowe,ammonia,green_electrolysis,2030,engine_load_fraction,0.07866105167352844,4
ningbo_felixstowe,ammonia,green_electrolysis,2030,main_engine_power_kw,0.07866105167352844,4
ningbo_felixstowe,ammonia,green_electrolysis,2030,sfoc_g_per_kwh,0.07866105167352844,4
ningbo_felixstowe,ammonia,green_electrolysis,2030,port_days,0.0781017719251105,5
ningbo_felixstowe,ammonia,green_electrolysis,2030,vlsfo_carbon_factor,0.07701611123702073,6
ningbo_felixstowe,ammonia,green_electrolysis,2030,fueleu_actual_intensity_gco2e_mj,0.0,7
ningbo_felixstowe,ammonia,green_electrolysis,2030,origin_carbon_price_eur_per_tco2e,0.0,7
ningbo_felixstowe,ammonia,green_electrolysis,2030,service_speed_knots,0.0,7
ningbo_felixstowe,hydrogen,blue_ccs,2030,carbon_price,19.999999999999996,1
ningbo_felixstowe,hydrogen,blue_ccs,2030,embedded_emissions_tco2e_per_tonne,19.901982765570303,2
ningbo_felixstowe,hydrogen,blue_ccs,2030,cargo_tonnes,0.1021012858642532,3
ningbo_felixstowe,hydrogen,blue_ccs,2030,engine_load_fraction,0.09860283049536255,4
